Grupo Muscular,Ejercicio,Repeticiones
Pierna,Sentadillas,12
Glúteo,Puente de glúteos,15
Hombro,Press militar,10
Abdomen,Plancha,30
Bíceps,Curl de bíceps,12
Tríceps,Fondos en silla,15
Espalda,Pull-ups,8
Hombro,Elevaciones laterales,12
Pierna,Extensiones de cuádriceps,15
Glúteo,Zancadas,10
Hombro,Face pulls,15
Abdomen,Abdominales,20
Bíceps,Martillo,12
Tríceps,Patada de tríceps,10
Espalda,Hiperextensiones,15
Hombro,Press de hombros con mancuernas,12
Pierna,Prensa de piernas,10
Glúteo,Peso muerto rumano,12
Abdomen,Crunches,20
Bíceps,21s de bíceps,15
Tríceps,Dips,12
Espalda,Remo con barra,10
Hombro,Rotaciones externas,15
Pierna,Desplantes,12
Glúteo,Elevación de talones,20
Hombro,Shrugs con barra,12
Abdomen,Mountain climbers,15
Bíceps,Curl con barra,10
Tríceps,Press de tríceps en polea,12
Espalda,Pull-downs,15
Hombro,Press Arnold,10
Pierna,Squats,12
Glúteo,Step-ups,15
Abdomen,Oblicuos,20
Bíceps,Curl concentrado,12
Tríceps,Flexiones diamante,15
Espalda,Peso muerto convencional,10
Hombro,Elevaciones frontales,12
Pierna,Leg curls,15
Glúteo,Hip thrust,10
Abdomen,Toallas rusas,15
Bíceps,Curl 21s,12
Tríceps,Tríceps en polea alta,15
Espalda,Lat pulldowns,12
Hombro,Face pulls,15
Pierna,Box jumps,10
Glúteo,Deadlift,12
Abdomen,Plancha lateral,20
Bíceps,Curl con mancuernas,15
Tríceps,Fondos en máquina,12
Espalda,Hip extensiones en máquina,15
Hombro,Press frontal,10
Pierna,Leg press,12
Glúteo,Glute bridges,20
Abdomen,Ab wheel rollouts,15
Bíceps,Curl 21s,12
Tríceps,French press,10
Espalda,Bent-over rows,12
Hombro,Elevaciones laterales,15
Pierna,Walking lunges,10
Glúteo,Reverse lunges,12
Abdomen,Spiderman planks,15
Bíceps,Hammer curls,10
Tríceps,Skull crushers,12
Espalda,Face pulls,15
Hombro,Shrugs con mancuernas,20
Pierna,Leg extensions,12
Glúteo,Kettlebell swings,15
Abdomen,Reverse crunches,10
Bíceps,Preacher curls,12
Tríceps,Tríceps dips,15
Espalda,Deadlift,10
Hombro,Front raises,12
Pierna,Jump squats,15
Glúteo,Cable pull-throughs,12
Abdomen,Plank to push-up,10
Bíceps,Incline curls,15
Tríceps,Overhead triceps extension,20
Espalda,T-bar rows,12
Hombro,Reverse flys,15
Pierna,Sumo squats,10
Glúteo,Lunges,12
Abdomen,V-ups,15
Bíceps,Concentration curls,10
Tríceps,Tríceps kickbacks,12
Espalda,Seated cable rows,15
Hombro,Arnold press,12
Pierna,Calf raises,20
Glúteo,Good mornings,15
Abdomen,Russian twists,10
Bíceps,Barbell curls,12
Tríceps,Crane push-ups,15
Espalda,Single-arm dumbbell rows,12
Hombro,Lateral raises,10
Grupo Muscular,Ejercicio,Repeticiones
Pierna,Step-ups,15
Glúteo,Glute bridges,12
Hombro,Front raises,10
Abdomen,Russian twists,20
Bíceps,Incline curls,15
Tríceps,Overhead triceps extension,12
Espalda,T-bar rows,10
Hombro,Reverse flys,15
Pierna,Leg press,12
Glúteo,Lunges,15
Hombro,Arnold press,10
Abdomen,V-ups,20
Bíceps,Concentration curls,15
Tríceps,Tríceps kickbacks,12
Espalda,Seated cable rows,10
Hombro,Press de hombros con mancuernas,15
Pierna,Leg curls,12
Glúteo,Hip thrust,15
Abdomen,Toallas rusas,20
Bíceps,Curl 21s,15
Tríceps,Tríceps en polea alta,12
Espalda,Lat pulldowns,10
Hombro,Face pulls,15
Pierna,Box jumps,12
Glúteo,Deadlift,15
Abdomen,Plancha lateral,20
Bíceps,Curl con mancuernas,15
Tríceps,Fondos en máquina,12
Espalda,Hip extensiones en máquina,10
Hombro,Elevaciones frontales,15
Pierna,Leg extensions,12
Glúteo,Kettlebell swings,15
Abdomen,Reverse crunches,20
Bíceps,Preacher curls,15
Tríceps,Tríceps dips,12
Espalda,Deadlift,10
Hombro,Press frontal,15
Pierna,Jump squats,12
Glúteo,Cable pull-throughs,15
Abdomen,Plank to push-up,20
Bíceps,21s de bíceps,15
Tríceps,French press,12
Espalda,Bent-over rows,10
Hombro,Elevaciones laterales,15
Pierna,Walking lunges,12
Glúteo,Reverse lunges,15
Abdomen,Spiderman planks,20
Bíceps,Hammer curls,15
Tríceps,Skull crushers,12
Espalda,Face pulls,10
Hombro,Shrugs con mancuernas,15
Pierna,Squats,12
Glúteo,Step-ups,15
Abdomen,Mountain climbers,20
Bíceps,Curl con barra,15
Tríceps,Press de tríceps en polea,12
Espalda,Pull-downs,10
Hombro,Press Arnold,15
Pierna,Prensa de piernas,12
Glúteo,Peso muerto rumano,15
Abdomen,Crunches,20
Bíceps,Martillo,15
Tríceps,Patada de tríceps,12
Espalda,Hiperextensiones,10
Hombro,Rotaciones externas,15
Pierna,Desplantes,12
Glúteo,Elevación de talones,15
Abdomen,Mountain climbers,20
Bíceps,Curl con barra,15
Tríceps,Press de tríceps en polea,12
Espalda,Pull-downs,10
Hombro,Press Arnold,15
Pierna,Squats,12
Glúteo,Step-ups,15
Abdomen,Oblicuos,20
Bíceps,Curl concentrado,15
Tríceps,Flexiones diamante,12
Espalda,Peso muerto convencional,10
Hombro,Elevaciones frontales,15
Pierna,Leg curls,12
Glúteo,Hip thrust,15
Abdomen,Toallas rusas,20
Bíceps,Curl 21s,15
Tríceps,Tríceps en polea alta,12
Espalda,Lat pulldowns,10
Hombro,Face pulls,15
Pierna,Box jumps,12
Glúteo,Deadlift,15
Abdomen,Plancha lateral,20
Bíceps,Curl con mancuernas,15
Tríceps,Fondos en máquina,12
Espalda,Hip extensiones en máquina,10
Hombro,Press frontal,15
Pierna,Leg press,12
Glúteo,Glute bridges,20
Abdomen,Ab wheel rollouts,15
Bíceps,Curl 21s,15
Tríceps,French press,12
Espalda,Bent-over rows,10
Hombro,Elevaciones laterales,15
Pierna,Sumo squats,12
Glúteo,Lunges,15
Abdomen,V-ups,20
Bíceps,Concentration curls,15
Tríceps,Tríceps kickbacks,12
Espalda,Seated cable rows,10
Hombro,Arnold press,15
Pierna,Calf raises,20
Glúteo,Good mornings,15
Abdomen,Russian twists,10
Bíceps,Barbell curls,15
Tríceps,Crane push-ups,12
Espalda,Single-arm dumbbell rows,10
Hombro,Lateral raises,15
Grupo Muscular,Ejercicio,Repeticiones
Pierna,Box jumps,15
Glúteo,Donkey kicks,12
Hombro,Lateral raises,10
Abdomen,Toe touches,20
Bíceps,Hammer curls,15
Tríceps,Tríceps dips,12
Espalda,Reverse flys,10
Hombro,Front plate raise,15
Pierna,Walking lunges,12
Glúteo,Fire hydrants,15
Hombro,Face pulls,10
Abdomen,Flutter kicks,20
Bíceps,Reverse curls,15
Tríceps,Skull crushers,12
Espalda,Single-arm dumbbell rows,10
Hombro,Arnold press,15
Pierna,Sumo squats,12
Glúteo,Kettlebell swings,15
Abdomen,Bicycle crunches,20
Bíceps,Concentration curls,15
Tríceps,Overhead triceps extension,12
Espalda,Lat pulldowns,10
Hombro,Reverse flys,15
Pierna,Jump squats,12
Glúteo,Deadlift,15
Abdomen,Leg raises,20
Bíceps,Curl con mancuernas,15
Tríceps,Diamond push-ups,12
Espalda,Hyperextensions,10
Hombro,Seated shoulder press,15
Pierna,Step-ups,12
Glúteo,Reverse lunges,15
Abdomen,Plank to push-up,20
Bíceps,Incline curls,15
Tríceps,Tríceps kickbacks,12
Espalda,T-bar rows,10
Hombro,Side lateral raises,15
Pierna,Leg press,12
Glúteo,Glute bridges,20
Abdomen,Mountain climbers,15
Bíceps,Preacher curls,12
Tríceps,French press,15
Espalda,Bent-over rows,10
Hombro,Shrugs con mancuernas,15
Pierna,Reverse lunges,12
Glúteo,Lunges,15
Abdomen,V-ups,20
Bíceps,Barbell curls,15
Tríceps,Close grip bench press,12
Espalda,Seated cable rows,10
Hombro,Press de hombros con mancuernas,15
Pierna,Leg curls,12
Glúteo,Donkey kicks,15
Abdomen,Plank,20
Bíceps,Drag curls,15
Tríceps,Tríceps dips,12
Espalda,Single-arm dumbbell rows,10
Hombro,Front raises,15
Pierna,Step-ups,12
Glúteo,Hip thrust,15
Abdomen,Side plank,20
Bíceps,Hammer curls,15
Tríceps,Skull crushers,12
Espalda,Farmers walk,10
Hombro,Face pulls,15
Pierna,Squats,12
Glúteo,Box jumps,15
Abdomen,Russian twists,20
Bíceps,Concentration curls,15
Tríceps,Tríceps kickbacks,12
Espalda,Lat pulldowns,10
Hombro,Reverse flys,15
Pierna,Deadlift,12
Glúteo,Kettlebell swings,15
Abdomen,Reverse crunches,20
Bíceps,Preacher curls,15
Tríceps,Overhead triceps extension,12
Espalda,Single-arm dumbbell rows,10
Hombro,Lateral raises,15
Pierna,Sumo squats,12
Glúteo,Reverse lunges,15
Abdomen,Bicycle crunches,20
Bíceps,Hammer curls,15
Tríceps,Dips,12
Espalda,Pull-ups,10
Hombro,Arnold press,15
Pierna,Jump squats,12
Glúteo,Deadlift,15
Abdomen,Leg raises,20
Bíceps,Curl con mancuernas,15
Tríceps,Diamond push-ups,12
Espalda,Hyperextensions,10
Hombro,Seated shoulder press,15
Pierna,Step-ups,12
Glúteo,Reverse lunges,15
Abdomen,Plank to push-up,20
Bíceps,Incline curls,15
Tríceps,Tríceps kickbacks,12
Espalda,T-bar rows,10
Hombro,Side lateral raises,15
Pierna,Leg press,12
Glúteo,Glute bridges,20
Abdomen,Mountain climbers,15
Bíceps,Preacher curls,12
Tríceps,French press,15
Espalda,Bent-over rows,10
Hombro,Shrugs con mancuernas,15
Pierna,Reverse lunges,12
Glúteo,Lunges,15
Abdomen,V-ups,20
Bíceps,Barbell curls,15
Tríceps,Close grip bench press,12
Espalda,Seated cable rows,10
Hombro,Press de hombros con mancuernas,15
Pierna,Leg curls,12
Glúteo,Donkey kicks,15
Abdomen,Plank,20
Bíceps,Drag curls,15
Tríceps,Tríceps dips,12
Espalda,Single-arm dumbbell rows,10
Hombro,Front raises,15
Pierna,Step-ups,12
Glúteo,Hip thrust,15
Abdomen,Side plank,20
Bíceps,Hammer curls,15
Tríceps,Skull crushers,12
Espalda,Farmers walk,10
Hombro,Face pulls,15
Pierna,Squats,12
Glúteo,Box jumps,15
Abdomen,Russian twists,20
Bíceps,Concentration curls,15
Tríceps,Tríceps kickbacks,12
Espalda,Lat pulldowns,10
Hombro,Reverse flys,15
Pierna,Deadlift,12
Glúteo,Kettlebell swings,15
Abdomen,Reverse crunches,20
Bíceps,Preacher curls,15
Tríceps,Overhead triceps extension,12
Espalda,Single-arm dumbbell rows,10
Hombro,Lateral raises,15
Pierna,Sumo squats,12
Glúteo,Reverse lunges,15
Abdomen,Bicycle crunches,20
Bíceps,Hammer curls,15
Tríceps,Dips,12
Espalda,Pull-ups,10
Hombro,Arnold press,15
Pierna,Jump squats,12
Glúteo,Deadlift,15
Abdomen,Leg raises,20
Bíceps,Curl con mancuernas,15
Tríceps,Diamond push-ups,12
Espalda,Hyperextensions,10
Hombro,Seated shoulder press,15
Pierna,Step-ups,12
Glúteo,Reverse lunges,15
Abdomen,Plank to push-up,20
Bíceps,Incline curls,15
Tríceps,Tríceps kickbacks,12
Espalda,T-bar rows,10
Hombro,Side lateral raises,15
Pierna,Leg press,12
Glúteo,Glute bridges,20
Abdomen,Mountain climbers,15
Bíceps,Preacher curls,12
Tríceps,French press,15
Espalda,Bent-over rows,10
Hombro,Shrugs con mancuernas,15
Pierna,Reverse lunges,12
Glúteo,Lunges,15
Abdomen,V-ups,20
Bíceps,Barbell curls,15
Tríceps,Close grip bench press,12
Espalda,Seated cable rows,10
Hombro,Press de hombros con mancuernas,15
Pierna,Leg curls,12
Glúteo,Donkey kicks,15
Abdomen,Plank,20
Bíceps,Drag curls,15
Tríceps,Tríceps dips,12
Espalda,Single-arm dumbbell rows,10
Hombro,Front raises,15
Pierna,Step-ups,12
Glúteo,Hip thrust,15
Abdomen,Side plank,20
Bíceps,Hammer curls,15
Tríceps,Skull crushers,12
Espalda,Farmers walk,10
Hombro,Face pulls,15
Pierna,Squats,12
Glúteo,Box jumps,15
Abdomen,Russian twists,20
Bíceps,Concentration curls,15
Tríceps,Tríceps kickbacks,12
Espalda,Lat pulldowns,10
Hombro,Reverse flys,15
Pierna,Deadlift,12
Glúteo,Kettlebell swings,15
Abdomen,Reverse crunches,20
Bíceps,Preacher curls,15
Tríceps,Overhead triceps extension,12
Espalda,Single-arm dumbbell rows,10
Hombro,Lateral raises,15
Pierna,Sumo squats,12
Glúteo,Reverse lunges,15
Abdomen,Bicycle crunches,20
Bíceps,Hammer curls,15
Tríceps,Dips,12
Espalda,Pull-ups,10
Hombro,Arnold press,15
Pierna,Jump squats,12
Glúteo,Deadlift,15
Abdomen,Leg raises,20
Bíceps,Curl con mancuernas,15
Tríceps,Diamond push-ups,12
Espalda,Hyperextensions,10
Hombro,Seated shoulder press,15
Pierna,Step-ups,12
Glúteo,Reverse lunges,15
Abdomen,Plank to push-up,20
Bíceps,Incline curls,15
Tríceps,Tríceps kickbacks,12
Espalda,T-bar rows,10
Hombro,Side lateral raises,15
Pierna,Leg press,12
Glúteo,Glute bridges,20
Abdomen,Mountain climbers,15
Bíceps,Preacher curls,12
Tríceps,French press,15
Espalda,Bent-over rows,10
Hombro,Shrugs con mancuernas,15
Pierna,Reverse lunges,12
Glúteo,Lunges,15
Abdomen,V-ups,20
Bíceps,Barbell curls,15
Tríceps,Close grip bench press,12
Espalda,Seated cable rows,10
Hombro,Press de hombros con mancuernas,15
Pierna,Leg curls,12
Glúteo,Donkey kicks,15
Abdomen,Plank,20
Bíceps,Drag curls,15
Tríceps,Tríceps dips,12
Espalda,Single-arm dumbbell rows,10
Hombro,Front raises,15
Pierna,Step-ups,12
Glúteo,Hip thrust,15
Abdomen,Side plank,20
Bíceps,Hammer curls,15
Tríceps,Skull crushers,12
Espalda,Farmers walk,10
Hombro,Face pulls,15